N
N,51.8491
N,51.8491,-8.29956
N,51.8491,-8.29956,P237
N,51.8491,-8.29956,P237,08 Oct 2020
N,51.8491,-8.29956,P237,08 Oct 2020,To Cork
N,51.8491,-8.29956,P237,08 Oct 2020,To Cork,P237\nCobh to Cork\nExpected Departure 08:30
N
N,51.9018
N,51.9018,-8.4582
N,51.9018,-8.4582,D238
N,51.9018,-8.4582,D238,08 Oct 2020
N,51.9018,-8.4582,D238,08 Oct 2020,To Cobh
N,51.9018,-8.4582,D238,08 Oct 2020,To Cobh,D238\nCork to Cobh\nExpected Departure 08:30
N
N,51.9018
N,51.9018,-8.4582
N,51.9018,-8.4582,P235
N,51.9018,-8.4582,P235,08 Oct 2020
N,51.9018,-8.4582,P235,08 Oct 2020,To Mallow
N,51.9018,-8.4582,P235,08 Oct 2020,To Mallow,P235\nCork to Mallow\nExpected Departure 08:20
N
N,52.1396
N,52.1396,-8.65521
N,52.1396,-8.65521,D239
N,52.1396,-8.65521,D239,08 Oct 2020
N,52.1396,-8.65521,D239,08 Oct 2020,To Cork
N,52.1396,-8.65521,D239,08 Oct 2020,To Cork,D239\nMallow to Cork\nExpected Departure 08:30
N
N,53.2043
N,53.2043,-6.10046
N,53.2043,-6.10046,E950
N,53.2043,-6.10046,E950,08 Oct 2020
N,53.2043,-6.10046,E950,08 Oct 2020,Northbound
N,53.2043,-6.10046,E950,08 Oct 2020,Northbound,E950\nBray to Howth\nExpected Departure 08:25
N
N,53.3433
N,53.3433,-6.24829
N,53.3433,-6.24829,D907
N,53.3433,-6.24829,D907,08 Oct 2020
N,53.3433,-6.24829,D907,08 Oct 2020,Northbound
N,53.3433,-6.24829,D907,08 Oct 2020,Northbound,D907\nDublin Pearse to Maynooth\nExpected Departure 08:23
N
N,53.3464
N,53.3464,-6.29461
N,53.3464,-6.29461,D203
N,53.3464,-6.29461,D203,08 Oct 2020
N,53.3464,-6.29461,D203,08 Oct 2020,To Portlaoise
N,53.3464,-6.29461,D203,08 Oct 2020,To Portlaoise,D203\nDublin Heuston to Portlaoise\nExpected Departure 08:25
N
N,53.3509
N,53.3509,-6.23929
N,53.3509,-6.23929,D301
N,53.3509,-6.23929,D301,08 Oct 2020
N,53.3509,-6.23929,D301,08 Oct 2020,Northbound
N,53.3509,-6.23929,D301,08 Oct 2020,Northbound,D301\nDocklands to M3 Parkway\nExpected Departure 08:25
N
N,53.4349
N,53.4349,-6.46898
N,53.4349,-6.46898,P304
N,53.4349,-6.46898,P304,08 Oct 2020
N,53.4349,-6.46898,P304,08 Oct 2020,Southbound
N,53.4349,-6.46898,P304,08 Oct 2020,Southbound,P304\nM3 Parkway to Docklands\nExpected Departure 08:35
N
N,53.4509
N,53.4509,-6.15649
N,53.4509,-6.15649,E106
N,53.4509,-6.15649,E106,08 Oct 2020
N,53.4509,-6.15649,E106,08 Oct 2020,Southbound
N,53.4509,-6.15649,E106,08 Oct 2020,Southbound,E106\nMalahide to Greystones\nExpected Departure 08:30
N
N,53.712
N,53.712,-6.33538
N,53.712,-6.33538,P607
N,53.712,-6.33538,P607,08 Oct 2020
N,53.712,-6.33538,P607,08 Oct 2020,Southbound
N,53.712,-6.33538,P607,08 Oct 2020,Southbound,P607\nDrogheda to Dublin Pearse\nExpected Departure 08:30
R
R,0
R,0,0
R,0,0,A507
R,0,0,A507,08 Oct 2020
R,0,0,A507,08 Oct 2020,To Dublin Heuston
R,0,0,A507,08 Oct 2020,To Dublin Heuston,A507\n07:50 - Waterford to Dublin Heuston (5 mins late)\nDeparted Lavistown South next stop Kilkenny
R
R,0
R,0,0
R,0,0,D237
R,0,0,D237,08 Oct 2020
R,0,0,D237,08 Oct 2020,To Cork
R,0,0,D237,08 Oct 2020,To Cork,D237\n08:00 - Mallow to Cork (1 mins late)\nDeparted Killarney Junction next stop Cork
R
R,52.1396
R,52.1396,-8.65521
R,52.1396,-8.65521,A300
R,52.1396,-8.65521,A300,08 Oct 2020
R,52.1396,-8.65521,A300,08 Oct 2020,To Tralee
R,52.1396,-8.65521,A300,08 Oct 2020,To Tralee,A300\n06:25 - Cork to Tralee (1 mins late)\nDeparted Mallow next stop Banteer
R
R,52.5828
R,52.5828,-8.38682
R,52.5828,-8.38682,A424
R,52.5828,-8.38682,A424,08 Oct 2020
R,52.5828,-8.38682,A424,08 Oct 2020,To Limerick
R,52.5828,-8.38682,A424,08 Oct 2020,To Limerick,A424\n07:40 - Thurles to Limerick (0 mins late)\nDeparted Drumkeen next stop Limerick
R
R,52.6404
R,52.6404,-8.52719
R,52.6404,-8.52719,A461
R,52.6404,-8.52719,A461,08 Oct 2020
R,52.6404,-8.52719,A461,08 Oct 2020,To Ballybrophy
R,52.6404,-8.52719,A461,08 Oct 2020,To Ballybrophy,A461\n06:30 - Limerick to Ballybrophy (0 mins late)\nDeparted Killonan next stop Castleconnell
R
R,52.6766
R,52.6766,-7.82189
R,52.6766,-7.82189,A202
R,52.6766,-7.82189,A202,08 Oct 2020
R,52.6766,-7.82189,A202,08 Oct 2020,To Cork
R,52.6766,-7.82189,A202,08 Oct 2020,To Cork,A202\n07:00 - Dublin Heuston to Cork (1 mins late)\nDeparted Thurles next stop Limerick Junction
R
R,52.6766
R,52.6766,-7.82189
R,52.6766,-7.82189,A405
R,52.6766,-7.82189,A405,08 Oct 2020
R,52.6766,-7.82189,A405,08 Oct 2020,To Dublin Heuston
R,52.6766,-7.82189,A405,08 Oct 2020,To Dublin Heuston,A405\n07:40 - Limerick to Dublin Heuston (-3 mins late)\nArrived Thurles next stop Templemore
R
R,52.7878
R,52.7878,-7.82293
R,52.7878,-7.82293,A205
R,52.7878,-7.82293,A205,08 Oct 2020
R,52.7878,-7.82293,A205,08 Oct 2020,To Dublin Heuston
R,52.7878,-7.82293,A205,08 Oct 2020,To Dublin Heuston,A205\n07:00 - Cork to Dublin Heuston (0 mins late)\nArrived Templemore next stop Dublin Heuston
R
R,52.992
R,52.992,-6.9762
R,52.992,-6.9762,A500
R,52.992,-6.9762,A500,08 Oct 2020
R,52.992,-6.9762,A500,08 Oct 2020,To Waterford
R,52.992,-6.9762,A500,08 Oct 2020,To Waterford,A500\n07:25 - Dublin Heuston to Waterford (-5 mins late)\nDeparted Athy next stop Carlow
R
R,52.992
R,52.992,-6.9762
R,52.992,-6.9762,A505
R,52.992,-6.9762,A505,08 Oct 2020
R,52.992,-6.9762,A505,08 Oct 2020,To Dublin Heuston
R,52.992,-6.9762,A505,08 Oct 2020,To Dublin Heuston,A505\n07:05 - Waterford to Dublin Heuston (4 mins late)\nDeparted Athy next stop Newbridge
R
R,53.1442
R,53.1442,-6.06085
R,53.1442,-6.06085,E909
R,53.1442,-6.06085,E909,08 Oct 2020
